datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;D1;D2
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;01;Elberfeld-Mitte;8;8;6245;1252;0;7497;2304;1067;25;2279;1154;1125
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;02;Hombüchel;7;7;6224;1264;0;7488;2799;1030;33;2766;1300;1466
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;03;Höchsten;6;6;6145;879;0;7024;2102;714;24;2078;1062;1016
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;04;Ostersbaum;7;7;6426;958;0;7384;2073;803;28;2045;1138;907
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;05;Grifflenberg;9;9;6669;2276;0;8945;3945;1973;16;3929;1523;2406
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;06;Friedrichsberg;7;7;6628;1209;0;7837;2333;992;25;2308;1188;1120
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;11;Brill-Arrenberg;7;7;5359;1662;0;7021;3129;1397;22;3107;1120;1987
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;12;Nützenberg-Zoo;6;6;5672;1315;0;6987;2664;1122;20;2644;1219;1425
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;13;Sonnborn-Varresbeck;7;7;5898;1314;0;7212;2757;1173;18;2739;1140;1599
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;21;Uellendahl-Ost;9;9;5915;2071;0;7986;3975;1818;18;3957;1544;2413
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;22;Uellendahl-Mitte;9;9;6265;1639;0;7904;3234;1424;21;3213;1576;1637
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;23;Uellendahl-West;8;8;5210;2116;0;7326;3868;1872;23;3845;1246;2599
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;24;Katernberg;9;9;5163;2135;0;7298;4051;1900;37;4014;1425;2589
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;31;Vohwinkel-Ost;8;8;6614;1456;0;8070;2721;1235;29;2692;1263;1429
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;32;Vohwinkel-West;7;7;6288;1427;0;7715;2768;1235;21;2747;1224;1523
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;33;Vohwinkel-Nord;9;9;6195;1390;0;7585;3240;1179;19;3221;1443;1778
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;41;Cronenberg-Süd;10;10;6934;2075;0;9009;4140;1791;39;4101;1568;2533
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;42;Cronenberg-Nord;9;9;6684;1977;0;8661;4063;1733;35;4028;1544;2484
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;51;Barmen-Mitte;8;8;7520;1194;0;8714;2250;967;13;2237;1205;1032
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;52;Sedansberg-Rott;8;8;7725;1240;0;8965;2592;1040;26;2566;1448;1118
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;53;Loh-Unterbarmen;8;8;7289;1201;0;8490;2634;1015;20;2614;1321;1293
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;54;Clausen-Hatzfeld;10;10;7383;1769;0;9152;3375;1556;25;3350;1716;1634
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;55;Kothen-Lichtenplatz;9;9;6473;2133;0;8606;4086;1864;29;4057;1825;2232
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;61;Oberbarmen;6;6;6249;666;0;6915;1398;579;14;1384;800;584
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;62;Wichlinghausen-Süd;7;7;6277;643;0;6920;1591;544;11;1580;974;606
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;63;Wichlinghausen-Nord;8;8;7211;958;0;8169;2227;796;12;2215;1267;948
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;64;Nächstebreck;9;9;6987;1707;0;8694;3364;1487;39;3325;1628;1697
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;71;Heckinghausen-West;9;9;6574;1582;0;8156;3055;1409;15;3040;1407;1633
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;72;Heckinghausen-Ost;7;7;6639;1001;0;7640;2143;862;11;2132;1202;930
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;81;Langerfeld-Nord;9;9;7941;1023;0;8964;2292;865;11;2281;1344;937
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;82;Langerfeld-Süd-Beyenburg;12;12;7958;2002;0;9960;4212;1751;22;4190;1914;2276
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;91;Ronsdorf-Ost;10;10;6703;1695;0;8398;3218;1414;28;3190;1756;1434
27.09.2020;Stichwahl des/der Oberbürgermeisters/in;05124000;92;Ronsdorf-West;10;10;6993;2063;0;9056;4243;1802;33;4210;2161;2049
